,,,,,,,,,,,,
PIB Trimestral,,,,,,,,,,,,
2021,,,,20222,,,,,,,,
I,II,III,IV,I,II,III,IV,,,,,
65.529,63.328,67.280,73.376,78.446,87.026,85.511,76.690,,,,,
,,,,,,,,,,,,
PIB Anual,,,,,,,,,,,,
Fecha,PIB,,,,,,,,,,,
2022,326.356,,,,,,,,,,,
2021,269.121,,,,,,,,,,,
,,,,,,,,,,,,
PIB MENSUAL,,,,,,,,,,,,
Año,Enero,Febrero,Marzo,Abril,Mayo ,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2022,26149,26149,26149,29009,29009,29009,28504,28504,28504,25563,25563,25563
2021,21843,21843,21843,21109,21109,21109,22427,22427,22427,24459,24459,24459
